"state","utility_name","energy_type","ownership_eep_determined","parent"
"OH","Pike Natural Gas Co - OH","gas","Investor Owned","Utility Pipeline, Ltd. (UPL"
"TN","Paris - KY","gas","Municipal",NA
"TN","Lenoir City Util BD - TN","gas","Municipal",NA
"TX","Epcor Gas Texas Inc - TX","gas","Investor Owned","NW Natural Holdings"
"MN","New Ulm Pub Util Comm - MN","gas","Municipal",NA
"MN","New Ulm Public Utilities Comm","electric","Municipal",NA
"MN","Hibbing Public Utilities Comm","electric","Municipal",NA
"PA","C T Enterprises  - PA","gas","Cooperative",NA
"TN","Lawrenceburg Utility Systems - TN","gas","Municipal",NA
"AL","Utilities Board Town of Citronelle - AL","gas","Municipal",NA
"OH","Eastern Natural Gas - OH","gas","Investor Owned","Utility Pipeline, Ltd. (UPL"
"WV","Southern Public Service Co - WV","gas","Investor Owned","Hope Gas"
"MD","Elkton Gas Company - MD","gas","Investor Owned","Chesapeake"
"IL","Morton Village of - IL","gas","Municipal",NA
"LA","Madisonville Town of - LA","gas","Municipal",NA
"LA","West Baton Rouge Parish Nat Gas - LA","gas","Municipal",NA
"WY","Wyoming Gas Co - WY","gas","Investor Owned",NA
"MS","Corinth City of Gas And Water - MS","gas","Municipal",NA
"VA","Town of Bedford - (VA)","electric","Municipal",NA
"TN","Fayetteville Public Utility Gas Dept - TN","gas","Municipal",NA
"NM","Emw Gas Assn - NM","gas","Municipal",NA
"KY","Benton Gas System - KY","gas","Municipal",NA
"TN","Hardeman Fayette Util Dist - TN","gas","Political Subdivision",NA
"SC","City of Union - (SC)","electric","Municipal",NA
"TN","Athens Utilities Board - TN","gas","Municipal",NA
"SC","Union City of - SC","gas","Municipal",NA
"OH","City of Wapakoneta - (OH)","electric","Municipal",NA
"SC","City of Laurens - (SC)","electric","Municipal",NA
"NM","Deming Gas Sys - NM","gas","Investor Owned","NM Gas Company"
"MA","Middleborough Gas & Electric Dept - MA","gas","Municipal",NA
"SC","Fort Hill Nat Gas Auth - SC","gas","Political Subdivision",NA
"GA","Fitzgerald Wtr Lgt & Bond Comm","electric","Municipal",NA
"AL","Russellville Gas Board - AL","gas","Municipal",NA
"TN","Savannah City of - TN","gas","Municipal",NA
"NC","City of Kings Mountain - (NC)","electric","Municipal",NA
"MI","Northern States Pwr Co - MI","gas","Investor Owned","Xcel"
"AL","Sylacauga Utilities Board","electric","Municipal",NA
"PA","Pike County Light And Power - PA","gas","Political Subdivision",NA
"FL","Gulf Breeze City of - FL","gas","Municipal",NA
"NE","City of Nebraska City - (NE)","electric","Municipal",NA
"MN","Hibbing Pub Util Comm - MN","gas","Municipal",NA
"GA","Toccoa Natural Gas System - GA","gas","Municipal",NA
"TN","Portland City of - TN","gas","Municipal",NA
"KY","Kentucky Frontier Gas Llc - KY","gas","Investor Owned",NA
"OK","West Texas Gas Inc - OK","gas","Investor Owned","Tailwater Capital"
"AZ","City of Safford - (AZ)","electric","Municipal",NA
"WA","Enumclaw City of - WA","gas","Municipal",NA
"AL","Sylacauga Utilities Board - AL","gas","Municipal",NA
"KY","City of Bardstown - (KY)","electric","Municipal",NA
"ME","Summit Natural Gas - ME","gas","Investor Owned","Summit"
"IN","Boonville Nat Gas Corp - IN","gas","Municipal",NA
"TN","Ripley City of - TN","gas","Municipal",NA
"TX","Rockport City of - TX","gas","Municipal",NA
"IL","Consumers Gas Co - IL","gas","Investor Owned",NA
"LA","City of Plaquemine - (LA)","electric","Municipal",NA
"SC","City of Newberry - (SC)","electric","Municipal",NA
"PA","Knox Energy Coop Association Inc - PA","gas","Cooperative",NA
"TN","Loudon Util Gas Dept - TN","gas","Municipal",NA
"TN","Middle Tennessee Util Dist - TN","gas","Political Subdivision",NA
"GA","Summerville Nat Gas Sys - GA","gas","Municipal",NA
"TN","Bolivar City of - TN","gas","Municipal",NA
"TN","Henderson City of - TN","gas","Municipal",NA
"AL","South Alabama Gas - AL","gas","Investor Owned",NA
"LA","Morgan City - (LA)","electric","Municipal",NA
"CO","Fort Morgan City of - CO","gas","Municipal",NA
"OH","Glenwood Energy of Oxford Inc - OH","gas","Investor Owned",NA
"OK","Grove Mun Services Authority - OK","gas","Municipal",NA
"AL","Scottsboro Wtr Sewer And Gas Board - AL","gas","Municipal",NA
"NE","Midamerican Energy Co","gas","Investor Owned",NA
"CO","City of Trinidad - (CO)","electric","Municipal",NA
"MN","City of Virginia - (MN)","electric","Municipal",NA
"OK","City of Pryor - (OK)","electric","Municipal",NA
"NE","Nebraska City Utilities - NE","gas","Municipal",NA
"FL","Palatka Gas Authority - FL","gas","Municipal",NA
"NC","Kings Mountain City of - NC","gas","Municipal",NA
"TN","Unicoi County Utility District - TN","gas","Municipal",NA
"GA","Elberton Utilities  Nat Gas Div - GA","gas","Municipal",NA
"TX","Tomball City of - TX","gas","Municipal",NA
"LA","Pointe Coupee Parish Public Util - LA","gas","Municipal",NA
"LA","East Baton Rouge Parish Gud 1 - LA","gas","Municipal",NA
"LA","Iberville Parish Utility Department - LA","gas","Municipal",NA
"NM","Las Vegas Nat Gas Dept City of - NM","gas","Municipal",NA
"IN","Huntingburg City of - IN","gas","Municipal",NA
"AL","Wheeler Basin Natural Gas Co - AL","gas","Investor Owned",NA
"MS","Booneville Municipal Gas - MS","gas","Municipal",NA
"CO","Trinidad City of - CO","gas","Municipal",NA
"IN","Fountaintown Gas Co - IN","gas","Municipal",NA
"IN","City of Huntingburg - (IN)","electric","Municipal",NA
"GA","City of Elberton","electric","Municipal",NA
"TN","Parsons City of - TN","gas","Municipal",NA
"LA","Westlake Nat Gas Sys - LA","gas","Municipal",NA
"OK","Fort Cobb Fuel Authority - OK","gas","Investor Owned","Navitas Assets, LLC"
"MN","Perham City of - MN","gas","Municipal",NA
"OK","Pryor Municipal Utility Board - OK","gas","Municipal",NA
"TX","Greenlight Gas - TX","gas","Investor Owned",NA
"TX","Perryton City of - TX","gas","Municipal",NA
"AL","Boaz City of Gas BD - AL","gas","Municipal",NA
"TN","Pulaski Natural Gas Dept - TN","gas","Municipal",NA
"VA","Southwestern Virginia Gas Co - VA","gas","Investor Owned","C.T. Williams & Co"
"FL","Havana Power & Light Company","electric","Municipal",NA
"LA","Baker City of - LA","gas","Municipal",NA
"AZ","Safford City of - AZ","gas","Municipal",NA
"MO","Perryville City of - MO","gas","Municipal",NA
"FL","St Joe Nat Gas Co - FL","gas","Municipal",NA
"MN","Centennial Util DBA Circle Pines Uti - MN","gas","Municipal",NA
"KY","Richmond Utilities Board - KY","gas","Municipal",NA
"OK","Guymon Mun Gas Co - OK","gas","Municipal",NA
"GA","Thomasville Utilities - GA","gas","Municipal",NA
"TN","Humboldt Utils - TN","gas","Municipal",NA
"UT","Nephi City Gas - UT","gas","Municipal",NA
"LA","Evangeline Gas Co Inc - LA","gas","Investor Owned",NA
"UT","Nephi City Corporation","electric","Municipal",NA
"AL","Alexander City Mun Gas Co - AL","gas","Municipal",NA
"FL","City of Starke - (FL)","electric","Municipal",NA
"AL","Cullman Jefferson Gas - AL","gas","Political Subdivision",NA
"AL","City of Robertsdale","electric","Municipal",NA
"GA","City of Adel- (GA)","electric","Municipal",NA
"TN","Covington City of - TN","gas","Municipal",NA
"AL","Oneonta Util BD - AL","gas","Municipal",NA
"CA","City of Susanville - CA","gas","Municipal",NA
"IA","Harlan Municipal Utilities - (IA)","electric","Municipal",NA
"TN","Rockwood Gas Systems - TN","gas","Municipal",NA
"IN","Indiana Utilities Corporation - IN","gas","Investor Owned",NA
"TN","Elk River Public Utility District - TN","gas","Political Subdivision",NA
"TN","Lewisburg Gas Dept - TN","gas","Municipal",NA
"OH","Madison Energy Cooperative Assoc Inc - OH","gas","Cooperative",NA
"NM","Socorro City of - NM","gas","Municipal",NA
"IN","Batesville Gas Utility - IN","gas","Municipal",NA
"KY","Somerset Gas Svc - KY","gas","Municipal",NA
"LA","Plaquemine City of - LA","gas","Municipal",NA
"TN","Harriman Utility Board - TN","gas","Municipal",NA
"IN","City of Rensselaer - (IN)","electric","Municipal",NA
"SC","Bennettsville City of - SC","gas","Municipal",NA
"LA","St James Parish Utilities - LA","gas","Municipal",NA
"GA","Dublin City of - GA","gas","Municipal",NA
"MO","City of Macon - (MO)","electric","Municipal",NA
"SC","Town of Winnsboro - (SC)","electric","Municipal",NA
"NM","Raton Natural Gas - NM","gas","Investor Owned",NA
"IN","Rensselaer Gas Util Dept - IN","gas","Municipal",NA
"TN","Jefferson Cocke Co Utility District - TN","gas","Political Subdivision",NA
"AL","Calera City of - AL","gas","Municipal",NA
"TN","Centerville Town of - TN","gas","Municipal",NA
"KY","City of Vanceburg","electric","Municipal",NA
"TN","Jamestown Gas System - TN","gas","Municipal",NA
"IL","Salem City of - IL","gas","Municipal",NA
"FL","Okaloosa Gas District - FL","gas","Political Subdivision",NA
"IL","Fairfield City of - IL","gas","Municipal",NA
"OH","Ohio Cumberland Gas Co - OH","gas","Investor Owned",NA
"GA","City of Camilla","electric","Municipal",NA
"KY","Carrollton City of - KY","gas","Municipal",NA
"MO","City of Waynesville - (MO)","electric","Municipal",NA
"GA","Fort Valley Utility Commission - GA","gas","Municipal",NA
"TX","City of Brady - (TX)","electric","Municipal",NA
"OK","Chelsea Gas Authority - OK","gas","Municipal",NA
"AL","North Baldwin Utilities - AL","gas","Municipal",NA
"SD","Oahe Electric Cooperative, Inc.","electric","Cooperative",NA
"ID","Questar Gas Company - ID","gas","Investor Owned","Questar"
"GA","Commerce City of - GA","gas","Municipal",NA
"TN","Dunlap Nat Gas Sys - TN","gas","Municipal",NA
"IA","Sioux Center Mun Gas - IA","gas","Municipal",NA
"IA","Osage Mun Gas Util - IA","gas","Municipal",NA
"IA","City of Osage - (IA)","electric","Municipal",NA
"AL","Clarke Mobile Counties Gas District - AL","gas","Political Subdivision",NA
"IL","City of Sullivan - (IL)","electric","Municipal",NA
"MN","Northwest Gas of Cass County - MN","gas","Investor Owned","Gorhams', Inc"
"IL","Anna City of - IL","gas","Municipal",NA
"IL","Sullivan City of - IL","gas","Municipal",NA
"IN","Linton City of - IN","gas","Municipal",NA
"TN","Powell Clinch Utility District - TN","gas","Political Subdivision",NA
"NE","City of Falls City - (NE)","electric","Municipal",NA
"IL","Chester City of - IL","gas","Municipal",NA
"AL","Moulton Gas Sys - AL","gas","Investor Owned","Joe Wheeler EMC"
"AL","Fayette Gas Board - AL","gas","Municipal",NA
"OH","Piedmont Gas Company - OH","gas","Investor Owned","Duke"
"NE","City of Wahoo - (NE)","electric","Municipal",NA
"IL","Pittsfield City of - IL","gas","Municipal",NA
"GA","City of Lexington - NC","gas","Municipal",NA
"GA","Perry City of - GA","gas","Municipal",NA
"MO","Macon Municipal Utilities - MO","gas","Municipal",NA
"TX","City of Alpine Gas Department - TX","gas","Municipal",NA
